"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A020872",NA,"",12,"Acre-feet per Year"
"A020896",NA,"",13,"Acre-feet per Year"
"A020901",NA,"",0.3,"Acre-feet per Year"
"A020907",NA,"",11,"Acre-feet per Year"
"A020920",NA,"",384,"Acre-feet per Year"
"A020951",NA,"",19,"Acre-feet per Year"
"A020953",NA,"",20,"Acre-feet per Year"
"A020963",NA,"",47.8,"Acre-feet per Year"
"A020979",NA,"",3,"Acre-feet per Year"
"A021015",NA,"",5,"Acre-feet per Year"
"A021052",NA,"",19,"Acre-feet per Year"
"A021081",NA,"",3.2,"Acre-feet per Year"
"A021106",NA,"",128.4,"Acre-feet per Year"
"A021121",NA,"",10.9,"Acre-feet per Year"
"A021126",NA,"",215,"Acre-feet per Year"
"A021127",NA,"",199.9,"Acre-feet per Year"
"A021148",NA,"",87,"Acre-feet per Year"
"A021156",NA,"",139,"Acre-feet per Year"
"A021187",NA,"",9,"Acre-feet per Year"
"A021191",NA,"",5,"Acre-feet per Year"
"A021202",NA,"",9.2,"Acre-feet per Year"
"A021210",NA,"",15,"Acre-feet per Year"
"A021235",NA,"",23,"Acre-feet per Year"
"A021245",NA,"",50,"Acre-feet per Year"
"A021271",NA,"",0.3,"Acre-feet per Year"
"A021345",NA,"",1.1,"Acre-feet per Year"
"A021355",NA,"",48,"Acre-feet per Year"
"A021360",NA,"",26,"Acre-feet per Year"
"A021419",NA,"",107,"Acre-feet per Year"
"A021429A",NA,"",290,"Acre-feet per Year"
"A021429B",NA,"",290,"Acre-feet per Year"
"A021429C",NA,"",290,"Acre-feet per Year"
"A021466",NA,"",43.5,"Acre-feet per Year"
"A021506",NA,"",18,"Acre-feet per Year"
"A021515",NA,"",26,"Acre-feet per Year"
"A021516",NA,"",105,"Acre-feet per Year"
"A021522",NA,"",1.2,"Acre-feet per Year"
"A021540",NA,"",24,"Acre-feet per Year"
"A021569",NA,"",46.9,"Acre-feet per Year"
